President,Date,Format,Minutes,Words
Lyndon B. Johnson,1964-01-08,spoken,40.833333333333336,3168
Lyndon B. Johnson,1965-01-04,spoken,47.166666666666664,4399
Lyndon B. Johnson,1966-01-12,spoken,50.6,5542
Lyndon B. Johnson,1967-01-10,spoken,71.26666666666667,7195
Lyndon B. Johnson,1968-01-17,spoken,50.21666666666667,4914
Lyndon B. Johnson,1969-01-14,spoken,43.68333333333333,4115
Richard Nixon,1970-01-22,spoken,36.666666666666664,4457
Richard Nixon,1971-01-22,spoken,33.28333333333333,4508
Richard Nixon,1972-01-20,spoken,28.916666666666668,3976
Richard Nixon,1974-01-30,spoken,42.85,5144
Gerald R. Ford,1975-01-15,spoken,41.0,4126
Gerald R. Ford,1976-01-19,spoken,50.63333333333333,4948
Gerald R. Ford,1977-01-12,spoken,44.916666666666664,4727
Jimmy Carter,1978-01-19,spoken,46.06666666666667,4580
Jimmy Carter,1979-01-25,spoken,32.53333333333333,3257
Jimmy Carter,1980-01-21,spoken,32.06666666666667,3412
Ronald Reagan,1982-01-26,spoken,40.233333333333334,5154
Ronald Reagan,1983-01-25,spoken,46.0,5554
Ronald Reagan,1984-01-25,spoken,43.03333333333333,4931
Ronald Reagan,1985-02-06,spoken,40.0,4214
Ronald Reagan,1986-02-04,spoken,31.0,3514
Ronald Reagan,1987-01-27,spoken,34.65,3847
Ronald Reagan,1988-01-25,spoken,44.0,4955
George Bush,1990-01-31,spoken,35.71666666666667,3777
George Bush,1991-01-29,spoken,48.0,3823
George Bush,1992-01-28,spoken,51.06666666666667,5012
William J. Clinton,1994-01-25,spoken,63.733333333333334,7432
William J. Clinton,1995-01-24,spoken,84.96666666666667,9190
William J. Clinton,1996-01-23,spoken,66.68333333333334,6317
William J. Clinton,1997-02-04,spoken,64.35,6774
William J. Clinton,1998-01-27,spoken,76.71666666666667,7303
William J. Clinton,1999-01-19,spoken,78.66666666666667,7514
William J. Clinton,2000-01-27,spoken,88.81666666666666,7452
George W. Bush,2002-01-29,spoken,47.81666666666667,3878
George W. Bush,2003-01-28,spoken,59.583333333333336,5413
George W. Bush,2004-01-20,spoken,53.916666666666664,5229
George W. Bush,2005-02-02,spoken,53.333333333333336,5096
George W. Bush,2006-01-31,spoken,51.13333333333333,5323
George W. Bush,2007-01-23,spoken,49.4,5590
George W. Bush,2008-01-28,spoken,52.93333333333333,5760
Barack Obama,2010-01-27,spoken,69.33333333333333,7304
Barack Obama,2011-01-25,spoken,61.56666666666667,6878
Barack Obama,2012-01-24,spoken,64.73333333333333,7059
Barack Obama,2013-02-12,spoken,59.85,6775
Barack Obama,2014-01-28,spoken,65.11666666666666,6989
Barack Obama,2015-01-20,spoken,59.95,6718
Barack Obama,2016-01-12,spoken,58.733333333333334,6044
Donald J. Trump,2018-01-30,spoken,80.53333333333333,5839
Donald J. Trump,2019-02-05,spoken,82.41666666666667,5540
